data_pedido,modo_envio,nome_cliente,segmento_cliente,cidade,estado,regiao,departamento,tipo_produto,vendas,quantidade,lucro
2018-06-18,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Jardinagem e paisagismo,pesticidas,49.5,2,23.76
2018-06-18,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Automotivo,ferramentas automotivas,102.0,2,11.22
2018-06-18,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Jardinagem e paisagismo,ferramentas de jardinagem,164.83,4,55.63
2018-06-18,Envio rápido,João Pedro Silveira,B2C,Maringá,Paraná,Sul,Jardinagem e paisagismo,decoração de jardim,5.71,1,2.86
2017-11-25,Entrega padrão,Caroline Cavalcanti,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Automotivo,ferramentas automotivas,47.53,2,20.91
2017-11-25,Entrega padrão,Caroline Cavalcanti,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,87.8,6,31.83
2017-11-25,Entrega padrão,Caroline Cavalcanti,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,pesticidas,498.88,3,234.47
2017-11-25,Entrega padrão,Caroline Cavalcanti,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Materiais de construção,iluminação,271.18,4,75.93
2017-05-01,Entrega padrão,Ana Beatriz Souza,B2B,Manaus,Amazonas,Norte,Materiais de construção,ferramentas,724.59,5,-51.76
2016-12-06,Entrega padrão,Vitor Hugo Dias,B2B,Imperatriz,Maranhão,Nordeste,Jardinagem e paisagismo,decoração de jardim,3784.28,8,378.43
2016-12-06,Entrega padrão,Vitor Hugo Dias,B2B,Imperatriz,Maranhão,Nordeste,Automotivo,pneus,571.09,4,214.16
2018-06-05,Envio rápido,Gustavo Henrique Almeida,B2C,Goiânia,Goiás,Centro-Oeste,Jardinagem e paisagismo,pesticidas,257.99,2,121.26
2018-09-19,Entrega padrão,Alexandre Mendes,B2C,São Paulo,São Paulo,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,15.69,1,5.89
2019-09-15,Econômica,Felipe Rodrigues,B2C,São Gonçalo,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,pesticidas,64.77,3,29.79
2017-04-27,Entrega padrão,Renan Santos,B2C,Mogi das Cruzes,São Paulo,Sudeste,Materiais de construção,ferramentas,2828.58,8,-388.93
2017-04-27,Entrega padrão,Renan Santos,B2C,Mogi das Cruzes,São Paulo,Sudeste,Materiais de construção,iluminação,329.94,2,4.12
2017-04-27,Entrega padrão,Renan Santos,B2C,Mogi das Cruzes,São Paulo,Sudeste,Jardinagem e paisagismo,vasos,247.47,1,-61.87
2019-12-10,Envio rápido,Marcela da Conceição,B2B,Belo Horizonte,Minas Gerais,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,4.24,3,-6.58
2019-12-10,Envio rápido,Marcela da Conceição,B2B,Belo Horizonte,Minas Gerais,Sudeste,Materiais de construção,iluminação,33.01,3,-19.8
2019-12-10,Envio rápido,Marcela da Conceição,B2B,Belo Horizonte,Minas Gerais,Sudeste,Jardinagem e paisagismo,vasos,92.62,3,9.26
2016-11-27,Econômica,Renan Santos,B2C,Belo Horizonte,Minas Gerais,Sudeste,Materiais de construção,iluminação,65.62,5,-49.22
2018-06-13,Envio rápido,João Lucas Rocha,B2B,Florianópolis,Santa Catarina,Sul,Jardinagem e paisagismo,mobiliário de exterior,707.74,1,191.09
2018-06-13,Envio rápido,João Lucas Rocha,B2B,Florianópolis,Santa Catarina,Sul,Jardinagem e paisagismo,ferramentas de jardinagem,56.92,3,27.32
2016-10-13,Entrega padrão,Mariane Costa,B2C,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,decoração de jardim,50.66,5,14.18
2016-10-13,Entrega padrão,Mariane Costa,B2C,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,vasos,72.73,1,21.09
2017-09-04,Entrega padrão,Sarah Oliveira,B2B,Timon,Maranhão,Nordeste,Jardinagem e paisagismo,fertilizantes,683.35,7,213.55
2019-11-14,Envio rápido,Ana Beatriz Barros,B2B,Manaus,Amazonas,Norte,Jardinagem e paisagismo,vasos,783.28,3,-166.45
2019-05-29,Econômica,Lara Pinto,B2C,Maceió,Alagoas,Nordeste,Materiais de construção,ferramentas,1026.66,2,112.93
2019-10-27,Entrega padrão,Benício da Mota,B2C,São José dos Campos,São Paulo,Sudeste,Automotivo,ferramentas automotivas,67.97,1,23.11
2019-10-27,Entrega padrão,Benício da Mota,B2C,São José dos Campos,São Paulo,Sudeste,Jardinagem e paisagismo,sementes,20.94,2,10.05
2018-04-06,Econômica,Vicente Novaes,B2B,Belo Horizonte,Minas Gerais,Sudeste,Jardinagem e paisagismo,vasos,538.45,7,47.11
2018-09-18,Entrega padrão,João Lucas Ramos,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,decoração de jardim,68.34,3,22.55
2018-09-18,Entrega padrão,João Lucas Ramos,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Automotivo,pneus,250.19,2,28.15
2018-09-18,Entrega padrão,João Lucas Ramos,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,pesticidas,22.03,1,10.58
2017-02-01,Econômica,Juan da Conceição,B2C,Petrolina,Pernambuco,Nordeste,Jardinagem e paisagismo,pesticidas,44.06,2,21.15
2017-02-01,Econômica,Juan da Conceição,B2C,Petrolina,Pernambuco,Nordeste,Materiais de construção,iluminação,181.36,3,56.22
2017-02-01,Econômica,Juan da Conceição,B2C,Petrolina,Pernambuco,Nordeste,Jardinagem e paisagismo,ferramentas de jardinagem,112.06,2,54.91
2019-11-07,Entrega padrão,Fernando Farias,B2B,Itaquaquecetuba,São Paulo,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,19.32,1,-12.88
2019-11-10,Econômica,Vicente Nogueira,B2B,São Paulo,São Paulo,Sudeste,Materiais de construção,iluminação,328.2,7,137.84
2019-06-18,Envio rápido,Arthur Cavalcanti,B2C,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,ferramentas de jardinagem,174.46,3,61.06
2018-08-30,Entrega padrão,Alícia da Mota,B2B,Manaus,Amazonas,Norte,Jardinagem e paisagismo,pesticidas,219.72,7,76.9
2018-08-30,Entrega padrão,Alícia da Mota,B2B,Manaus,Amazonas,Norte,Automotivo,ferramentas automotivas,326.32,3,-36.71
2018-08-30,Entrega padrão,Alícia da Mota,B2B,Manaus,Amazonas,Norte,Jardinagem e paisagismo,ferramentas de jardinagem,6.08,3,-10.33
2018-12-02,Econômica,Kevin das Neves,B2C,São José dos Campos,São Paulo,Sudeste,Jardinagem e paisagismo,pesticidas,81.33,4,39.85
2017-11-14,Entrega padrão,João Guilherme da Conceição,B2C,Duque de Caxias,Rio de Janeiro,Sudeste,Automotivo,ferramentas automotivas,812.25,6,-91.38
2017-11-14,Entrega padrão,João Guilherme da Conceição,B2C,Duque de Caxias,Rio de Janeiro,Sudeste,Materiais de construção,iluminação,348.02,3,-13.05
2017-11-14,Entrega padrão,João Guilherme da Conceição,B2C,Duque de Caxias,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,125.4,3,-87.78
2019-11-24,Entrega padrão,Maria Vitória Silveira,B2C,Santo André,São Paulo,Sudeste,Automotivo,ferramentas automotivas,251.98,8,59.85
2019-11-24,Entrega padrão,Maria Vitória Silveira,B2C,Santo André,São Paulo,Sudeste,Automotivo,pneus,95.17,1,7.14
2019-11-24,Entrega padrão,Maria Vitória Silveira,B2C,Santo André,São Paulo,Sudeste,Jardinagem e paisagismo,decoração de jardim,11.23,1,3.65
2019-12-26,Entrega padrão,Caio Oliveira,B2B,São Paulo,São Paulo,Sudeste,Materiais de construção,iluminação,142.66,2,37.09
2016-08-26,Econômica,Fernando da Cunha,B2C,Curitiba,Paraná,Sul,Jardinagem e paisagismo,mudas,136.33,14,49.42
2016-08-26,Econômica,Fernando da Cunha,B2C,Curitiba,Paraná,Sul,Jardinagem e paisagismo,fertilizantes,16.05,2,5.62
2016-08-26,Econômica,Fernando da Cunha,B2C,Curitiba,Paraná,Sul,Jardinagem e paisagismo,pesticidas,81.52,3,25.47
2016-08-26,Econômica,Fernando da Cunha,B2C,Curitiba,Paraná,Sul,Jardinagem e paisagismo,fertilizantes,443.58,6,149.71
2017-03-03,Entrega padrão,Paulo Farias,B2C,Fortaleza,Ceará,Nordeste,Materiais de construção,materiais de revestimento,2677.6,3,562.3
2017-04-06,Entrega padrão,Igor Sales,B2B,Americana,São Paulo,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,536.5,1,-393.43
2018-06-13,Envio rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Materiais de construção,iluminação,159.94,3,62.38
2018-06-13,Envio rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Jardinagem e paisagismo,ferramentas de jardinagem,104.86,4,47.19
2018-06-13,Envio rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Jardinagem e paisagismo,vasos,770.3,6,215.69
2018-06-13,Envio rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Jardinagem e paisagismo,fertilizantes,391.07,9,175.98
2018-06-13,Envio rápido,Catarina Duarte,B2C,Macapá,Amapá,Norte,Automotivo,pneus,231.34,7,67.09
2016-12-27,Econômica,Ana Sophia Teixeira,B2B,Belo Horizonte,Minas Gerais,Sudeste,Materiais de construção,ferramentas,2041.9,3,-29.17
2016-09-21,Entrega padrão,Maria Julia Nogueira,B2C,Parnamirim,Rio Grande do Norte,Nordeste,Materiais de construção,materiais de revestimento,2100.18,6,-1386.12
2019-11-06,Entrega padrão,Pedro da Luz,B2C,Campo Grande,Mato Grosso do Sul,Centro-Oeste,Jardinagem e paisagismo,ferramentas de jardinagem,8.12,2,-6.22
2019-11-06,Entrega padrão,Pedro da Luz,B2C,Campo Grande,Mato Grosso do Sul,Centro-Oeste,Jardinagem e paisagismo,vasos,829.57,7,103.7
2018-11-07,Econômica,André da Mota,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Materiais de construção,ferramentas,276.84,2,-31.14
2018-11-07,Econômica,André da Mota,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Materiais de construção,iluminação,811.1,3,89.22
2019-02-03,Envio rápido,Renan Carvalho,B2B,Curitiba,Paraná,Sul,Automotivo,pneus,203.9,5,-40.78
2019-02-03,Envio rápido,Renan Carvalho,B2B,Curitiba,Paraná,Sul,Jardinagem e paisagismo,pesticidas,266.23,2,99.84
2019-02-03,Envio rápido,Renan Carvalho,B2B,Curitiba,Paraná,Sul,Jardinagem e paisagismo,mudas,72.95,9,23.71
2018-10-14,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Jardinagem e paisagismo,pesticidas,68.14,3,32.71
2018-10-14,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Jardinagem e paisagismo,pesticidas,120.5,1,56.63
2018-10-14,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Jardinagem e paisagismo,decoração de jardim,39.17,4,11.75
2018-10-14,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Jardinagem e paisagismo,mudas,13.67,2,6.7
2018-10-14,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,259.0,3,90.65
2018-10-14,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Jardinagem e paisagismo,materiais de paisagismo,223.99,6,62.72
2018-10-14,Entrega padrão,Lucas Azevedo,B2C,Piracicaba,São Paulo,Sudeste,Materiais de construção,iluminação,146.61,14,70.37
2018-09-06,Econômica,Breno Farias,B2B,Brasília,Distrito Federal,Centro-Oeste,Materiais de construção,iluminação,281.52,2,35.19
2019-09-19,Entrega padrão,Enrico Teixeira,B2B,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,decoração de jardim,29.99,3,8.1
2019-09-19,Entrega padrão,Enrico Teixeira,B2B,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,fertilizantes,36.92,3,17.35
2019-09-19,Entrega padrão,Enrico Teixeira,B2B,Salvador,Bahia,Nordeste,Jardinagem e paisagismo,pesticidas,488.58,3,234.52
2017-09-08,Entrega padrão,Vinicius da Costa,B2C,Joinville,Santa Catarina,Sul,Jardinagem e paisagismo,vasos,2284.56,7,68.54
2016-10-23,Entrega padrão,Calebe Monteiro,B2B,Campinas,São Paulo,Sudeste,Materiais de construção,iluminação,319.22,4,43.89
2018-12-06,Entrega padrão,Gabriela Pires,B2B,Serra,Espírito Santo,Sudeste,Automotivo,pneus,1307.13,11,352.93
2018-12-06,Entrega padrão,Gabriela Pires,B2B,Serra,Espírito Santo,Sudeste,Automotivo,pneus,509.9,3,20.4
2018-12-06,Entrega padrão,Gabriela Pires,B2B,Serra,Espírito Santo,Sudeste,Materiais de construção,ferramentas,6636.26,8,1990.88
2018-12-06,Entrega padrão,Gabriela Pires,B2B,Serra,Espírito Santo,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,583.27,5,274.14
2018-03-14,Envio rápido,Thiago Dias,B2B,Maracanaú,Ceará,Nordeste,Jardinagem e paisagismo,mobiliário de exterior,536.93,5,60.4
2018-03-14,Envio rápido,Thiago Dias,B2B,Maracanaú,Ceará,Nordeste,Automotivo,pneus,690.83,2,51.81
2017-06-01,Envio rápido,Pedro Miguel Rodrigues,B2B,Aparecida de Goiânia,Goiás,Centro-Oeste,Jardinagem e paisagismo,pesticidas,198.49,7,89.32
2017-06-01,Envio rápido,Pedro Miguel Rodrigues,B2B,Aparecida de Goiânia,Goiás,Centro-Oeste,Jardinagem e paisagismo,pesticidas,358.77,4,165.03
2017-06-01,Envio rápido,Pedro Miguel Rodrigues,B2B,Aparecida de Goiânia,Goiás,Centro-Oeste,Jardinagem e paisagismo,vasos,274.99,6,71.5
2017-05-29,Entrega padrão,Daniel Martins,B2B,Fortaleza,Ceará,Nordeste,Jardinagem e paisagismo,decoração de jardim,22.54,3,6.09
2016-03-02,Econômica,Antônio Novaes,B2C,Fortaleza,Ceará,Nordeste,Materiais de construção,ferramentas,1555.73,2,175.02
2018-05-12,Envio rápido,Pedro Miguel Viana,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,pesticidas,20.33,1,9.15
2017-12-29,Econômica,Rodrigo Vieira,B2C,Brasília,Distrito Federal,Centro-Oeste,Automotivo,ferramentas automotivas,184.91,2,4.62
2018-11-17,Entrega padrão,Srta. Valentina Alves,B2C,Rio Claro,São Paulo,Sudeste,Jardinagem e paisagismo,fertilizantes,96.56,5,45.38
2018-11-08,Entrega padrão,Gabrielly Rocha,B2C,Fortaleza,Ceará,Nordeste,Jardinagem e paisagismo,ferramentas de jardinagem,94.11,2,32.94
2016-09-09,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Jardinagem e paisagismo,decoração de jardim,33.78,3,9.29
2016-09-09,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Automotivo,equipamentos de limpeza,27743.84,8,-4623.97
2016-09-09,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Jardinagem e paisagismo,vasos,938.16,3,-199.36
2016-09-09,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Materiais de construção,ferramentas,5916.2,9,-84.52
2016-09-09,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Jardinagem e paisagismo,decoração de jardim,109.02,6,23.17
2016-09-09,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Jardinagem e paisagismo,mobiliário de exterior,605.13,5,-1543.09
2016-09-09,Entrega padrão,Davi Luiz Araújo,B2C,São Bernardo do Campo,São Paulo,Sudeste,Automotivo,pneus,489.52,3,30.59
2016-08-06,Entrega padrão,Miguel Correia,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,pesticidas,71.2,3,33.46
2016-08-06,Entrega padrão,Miguel Correia,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Jardinagem e paisagismo,pesticidas,377.26,2,181.09
2016-08-06,Entrega padrão,Miguel Correia,B2C,Rio de Janeiro,Rio de Janeiro,Sudeste,Materiais de construção,ferramentas,1156.49,7,72.28
2016-09-15,Entrega padrão,Isabelly Azevedo,B2B,Manaus,Amazonas,Norte,Jardinagem e paisagismo,mobiliário de exterior,178.32,2,-445.81
2016-09-15,Entrega padrão,Isabelly Azevedo,B2B,Manaus,Amazonas,Norte,Jardinagem e paisagismo,sementes,68.54,4,22.28
2019-04-22,Econômica,Bianca Pereira,B2C,Belo Horizonte,Minas Gerais,Sudeste,Jardinagem e paisagismo,mobiliário de exterior,330.7,4,-826.74
2017-11-22,Econômica,Renan Santos,B2C,Campinas,São Paulo,Sudeste,Materiais de construção,ferramentas,1349.13,7,-38.55
2017-11-22,Econômica,Renan Santos,B2C,Campinas,São Paulo,Sudeste,Jardinagem e paisagismo,materiais de paisagismo,53.99,5,-12.82
2017-12-16,Entrega padrão,Stephany Fogaça,B2B,São Paulo,São Paulo,Sudeste,Jardinagem e paisagismo,decoração de jardim,11.15,1,4.8
2016-12-06,Econômica,Daniel Silva,B2B,Florianópolis,Santa Catarina,Sul,Jardinagem e paisagismo,vasos,84.37,2,6.33
2016-12-06,Econômica,Daniel Silva,B2B,Florianópolis,Santa Catarina,Sul,Automotivo,ferramentas automotivas,1389.73,7,260.57
2016-11-20,Econômica,Ana Vitória Moreira,B2B,Vitória da Conquista,Bahia,Nordeste,Automotivo,pneus,1713.46,4,445.5
2016-11-20,Econômica,Ana Vitória Moreira,B2B,Vitória da Conquista,Bahia,Nordeste,Automotivo,pneus,509.83,5,142.75
2016-11-20,Econômica,Ana Vitória Moreira,B2B,Vitória da Conquista,Bahia,Nordeste,Automotivo,ferramentas automotivas,98.6,2,24.65
2018-11-29,Entrega padrão,Gustavo das Neves,B2C,Osasco,São Paulo,Sudeste,Jardinagem e paisagismo,ferramentas de jardinagem,24.34,2,11.69
2016-08-27,Entrega padrão,Lucca Freitas,B2B,Rio de Janeiro,Rio de Janeiro,Sudeste,Automotivo,ferramentas automotivas,601.12,8,78.15
2018-07-17,Entrega padrão,Agatha Farias,B2B,Sete Lagoas,Minas Gerais,Sudeste,Jardinagem e paisagismo,vasos,126.56,3,12.66
2018-07-17,Entrega padrão,Agatha Farias,B2B,Sete Lagoas,Minas Gerais,Sudeste,Jardinagem e paisagismo,pesticidas,68.05,3,21.27
2017-10-13,Envio rápido,Erick Pinto,B2B,São Paulo,São Paulo,Sudeste,Materiais de construção,encanamentos,3057.06,4,382.13
2017-10-13,Envio rápido,Erick Pinto,B2B,São Paulo,São Paulo,Sudeste,Automotivo,pneus,243.98,6,68.32
2017-10-13,Envio rápido,Erick Pinto,B2B,São Paulo,São Paulo,Sudeste,Jardinagem e paisagismo,pesticidas,176.26,8,84.6
2017-10-13,Envio rápido,Erick Pinto,B2B,São Paulo,São Paulo,Sudeste,Materiais de construção,encanamentos,2129.6,3,159.72
2017-10-13,Envio rápido,Erick Pinto,B2B,São Paulo,São Paulo,Sudeste,Jardinagem e paisagismo,decoração de jardim,67.66,5,22.33
2017-11-01,Entrega padrão,Raul Nogueira,B2B,Barueri,São Paulo,Sudeste,Jardinagem e paisagismo,fertilizantes,48.55,7,22.82
2019-11-07,Entrega padrão,Renan Campos,B2B,Ji-Paraná,Rondônia,Norte,Jardinagem e paisagismo,vasos,157.28,3,40.89
